volume,file,url,center_lon_w,hemisphere,geo_unit,terrain,group,n_bands,wave_min_um,wave_max_um,coverage_0p7_2p0,coverage_0p7_5p2,incidence_angle,emission_angle,phase_angle,label_error,abs_lon_to_apex_or_anti,n_valid_pixels,missing_frac,ood_dist_0p7_2p0,ood_ratio_0p7_2p0,screen_pass,screen_error
go_1117,17e009ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009ti.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,,5.265000000000001,2340,0.0,0.4811233974461388,8.643383792603883,True,
go_1117,17e009tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e009tr.qub,95.265,leading,chm,chaos,leading_chaos,360,0.6943,5.274,True,True,68.22,51.71,69.42,,5.265000000000001,2340,0.0,2.795584663419008,50.22268985235308,False,
go_1116,15e015ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e015ti.qub,79.955,leading,chm,chaos,leading_chaos,360,0.6887,5.2592,True,True,44.72,41.75,86.42,,10.045000000000002,2640,0.007518796992481258,0.4153840365110659,7.462375905940137,True,
go_1116,15e015tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e015tr.qub,79.955,leading,chm,chaos,leading_chaos,360,0.6887,5.2592,True,True,44.72,41.75,86.42,,10.045000000000002,2640,0.007518796992481258,2.7849710352176333,50.0320159785331,False,
go_1117,17e005ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005ci.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,74.58,26.57,101.04,,16.705000000000013,6160,0.33261105092091003,1.6040789832219078,28.81728545988846,False,
go_1117,17e005cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005cr.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,74.58,26.57,101.04,,16.705000000000013,6160,0.33261105092091003,2.5411087425400223,45.65102889840912,False,
go_1117,17e005ti.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005ti.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,58.53,47.41,101.18,,16.705000000000013,1946,0.4471590909090909,1.5952658519338305,28.658957520441316,False,
go_1117,17e005tr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1117/europa/17e005tr.qub,73.29499999999999,leading,chh,chaos,leading_chaos,360,0.6943,5.274,True,True,58.53,47.41,101.18,,16.705000000000013,1946,0.4471590909090909,2.427112271780717,43.60308183741564,False,
go_1116,15e001ci.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001ci.qub,105.555,leading,pr,plains,leading_plains,360,0.6887,5.2592,True,True,84.19,31.76,115.13,,15.555000000000007,865,0.23111111111111116,1.9051316379374224,34.22569762670634,False,
go_1116,15e001cr.qub,https://planetarydata.jpl.nasa.gov/img/data/go-e-nims-4-mosaic-v1.0/go_1116/europa/15e001cr.qub,105.555,leading,pr,plains,leading_plains,360,0.6887,5.2592,True,True,84.19,31.76,115.13,,15.555000000000007,865,0.23111111111111116,2.576864185483933,46.29337557636999,False,
