group,obs_id,volume,file,product,selection_source,hemisphere,terrain,geo_unit,clon_w,n_pixels,median_p_spec,iqr_p_spec,median_p_full,iqr_p_full,median_dv_spec,median_dv_full,iqr_dv_full,median_delta_geo,median_delta_rad,median_delta_full,median_ood_ratio,iqr_ood_ratio,synth_internal_ood,ood_gate,report_p_full,screen_ood_ratio_0p7_2p0,cohort,val_pr_auc_spectral,val_roc_auc_spectral,val_pr_auc_full,val_roc_auc_full,stage_dir,wave_min_um,wave_max_um
leading_chaos,17e009,go_1117,17e009ti.qub,ti,candidate_screen,leading,chaos,chm,95.265,2340,0.7740322433019271,0.510901727977314,0.6967486485964169,0.4326706323755178,1.2312212368822324,0.8318627664345339,2.1687700406184485,3.0148405249174406,0.8311601650721641,3.8460006899896046,5.656161545235746,7.306750654015125,0.0576153433636465,score_reportable,0.6967486485964169,8.643,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
leading_plains,25e006,go_1118,25e006ci.qub,ci,candidate_screen,leading,plains,pr,17.205,1078,0.4444261499367851,0.376798834046006,1.5077761672751509e-05,1.3451473424648682e-05,-0.22321777886932131,-11.10227458957135,0.8762572879416943,-3.8962611223925894,0.7113000972036936,-3.184961025188895,6.581337739214145,0.5014348322682078,0.0576153433636465,score_reportable,1.5077761672751509e-05,7.444,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
leading_plains,25e001,go_1118,25e001ci.qub,ci,candidate_screen,leading,plains,pr,19.975,944,0.9420260724408038,0.12681001497923228,5.0340371676149995e-06,6.276047899729832e-06,2.7880483244211325,-12.199285141404754,1.3269031417121617,-3.896261122392591,0.7191456861363648,-3.177115436256223,8.978889673116779,4.892617294543295,0.0576153433636465,score_reportable,5.0340371676149995e-06,10.781,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
leading_plains,25e004,go_1118,25e004ci.qub,ci,candidate_screen,leading,plains,pr,33.085,3262,0.9975812153698826,0.0012645559539181672,1.3424291722694403e-06,3.325222436489093e-07,6.022068374814458,-13.521028427614496,0.24776206723679906,-3.896261122392591,0.7541235237657204,-3.1421375986268707,14.72471217550857,0.9499102546054932,0.0576153433636465,context_only,,15.861,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_chaos,G2,go_1105,g2e002ci.qub,ci,existing_four_nims,trailing,chaos,chl,291.04999999999995,53,0.28944886006495024,0.43511462525439504,0.0023623459830401966,0.0011579315416035962,-0.898062290098549,-6.045734952360818,0.45669489282452425,2.4154709128594796,-0.3714830689452251,2.0439878439142536,5.409852508134953,3.6369444974624288,0.0576153433636465,score_reportable,0.0023623459830401966,5.837,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_chaos,12e003,go_1115,12e003ci.qub,ci,candidate_screen,trailing,chaos,chl,299.135,2993,0.9379276414011919,0.6368631178024694,0.04398624616433277,0.23295329891102604,2.7153720259495775,-3.078895301926852,3.502935514039057,2.41547091285948,-0.36124474932873696,2.0542261635307426,17.920764705205574,14.044116463356584,0.0576153433636465,context_only,,20.68,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_chaos,12e001,go_1115,12e001ci.qub,ci,candidate_screen,trailing,chaos,chl,298.915,1768,0.9998561127752815,0.00031833017067106617,0.142555602740718,0.18561954892741658,8.846337006846099,-1.7942335550399335,1.4568114189505776,2.4154709128594796,-0.36156375299459964,2.05390715986488,22.56676888767268,4.259100219345758,0.0576153433636465,context_only,,22.278,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_plains,E11,go_1114,11e001ci.qub,ci,existing_four_nims,trailing,plains,pr,218.915,3431,0.6892921981250418,0.6973319160957644,4.866048762400311e-06,5.174250686866244e-06,0.796812344558938,-12.23322342654851,1.020706101299682,-3.8962611223925876,-0.31924032524101875,-4.215501447633606,12.814555937382917,7.599415371943795,0.0576153433636465,context_only,,11.345,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_plains,17e008,go_1117,17e008ci.qub,ci,candidate_screen,trailing,plains,pr,201.72,4930,0.31751801044592587,0.8841122836571631,0.00018476436863043143,0.00043717117132885207,-0.7652018708522477,-8.596244448519968,1.9076477757185462,-3.8962611223925894,-0.2750462780985634,-4.171307400491153,4.672707384816233,7.104370964571345,0.0576153433636465,score_reportable,0.00018476436863043143,7.154,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
trailing_plains,14e001,go_1115,14e001ci.qub,ci,candidate_screen,trailing,plains,pr,205.665,616,0.9946895459271579,0.050122905254316286,5.768088290309326e-05,0.003485744547580665,5.232830346955108,-9.760728309815228,5.924712308827704,-3.8962611223925885,-0.2858402674612428,-4.182101389853833,19.261572076258215,17.52466415440008,0.0576153433636465,context_only,,21.852,selected_observations_12,0.34832815608777984,0.8153968645144168,0.5690339004354169,0.9044591571723758,data\processed\endmembers_ablation\02_ocean_salt_usgs_epsomite,0.7,2.0
